Strain,Diet,Brood,BroodID,larval_weight_mg,survival_%,waste_reduction_rate_%,larval_protein_%,larval_size_cm2,prepupal_size_cm2,development_rate_%,Start_BSFL,BSF_prepupa_number,larvaeNo
Industry-strain-A,Spent Brewing Grain,14,B14,108.5163043,0.989247312,0.416201258,,0.607517241,0.553086957,0.619565217,93,58,35
Industry-strain-A,Spent Brewing Grain,15,B15,111.9820225,0.956989247,0.407220126,0.323204,0.570538462,0.575833333,0.314606742,93,29,64
Industry-strain-A,Spent Brewing Grain,16,B16,100.0777778,0.967741935,0.392352201,,0.588258065,0.549878049,0.611111111,93,57,36
Industry-strain-A,Spent Brewing Grain,17,B17,84.27692308,0.978494624,0.611119497,0.338436,0.53835,0.490510638,0.648351648,93,60,33
Industry-strain-A,Spent Brewing Grain,18,B18,92.81685393,0.956989247,0.413371069,,0.61188,0.534222222,0.696629213,93,65,28
Industry-strain-A,Spent Brewing Grain,19,B19,100.4897727,0.946236559,0.391622642,0.342958,0.619923077,0.610692308,0.647727273,93,60,33
Industry-strain-A,Spent Brewing Grain,20,B20,105.9168539,0.956989247,0.388,,0.668166667,0.650015385,0.719101124,93,67,26
Industry-strain-A,Spent Brewing Grain,21,B21,97.15274725,0.978494624,0.38472956,0.332962,0.609210526,0.587045455,0.912087912,93,85,8
Industry-strain-A,Spent Brewing Grain,22,B22,88.77977528,0.956989247,0.417132075,,0.619571429,0.617103448,0.786516854,93,73,20
Industry-strain-A,Spent Brewing Grain,23,B23,102.9241758,0.978494624,0.386742138,0.330344,0.620411765,0.663938776,0.747252747,93,69,24
Industry-strain-A,Spent Brewing Grain,24,B24,108.3944444,0.967741935,0.390930818,,0.686384615,0.618779661,0.833333333,93,77,16
Industry-strain-A,Manure,13,B13,115.2380952,0.903225806,0.653018868,0.331296,,0.54248,0.702380952,93,65,28
Industry-strain-A,Manure,14,B14,132.6345679,0.870967742,0.660163522,0.297024,0.771928571,0.55896875,0.481481481,93,45,48
Industry-strain-A,Manure,15,B15,118.6578947,0.817204301,0.618603774,0.322728,,0.587392857,0.618421053,93,58,35
Industry-strain-A,Manure,16,B16,132.422973,0.795698925,0.649056604,0.327726,0.7423,0.588958333,0.459459459,93,43,50
Industry-strain-A,Manure,17,B17,130.864,0.806451613,0.50572327,0.303212,,0.548,0.546666667,93,51,42
Industry-strain-A,Manure,18,B18,110.3608108,0.795698925,0.510301887,0.308448,0.689454545,0.513111111,0.662162162,93,62,31
Industry-strain-A,Manure,19,B19,122.275,0.731182796,0.600842767,0.320824,0.435391304,0.557631579,0.485294118,93,45,48
Industry-strain-A,Manure,20,B20,109.0052632,0.817204301,0.495081761,0.31059,0.51,0.345289474,0.723684211,93,67,26
Industry-strain-A,Manure,21,B21,134.9225352,0.76344086,0.626100629,0.302498,0.486318182,0.343333333,0.591549296,93,55,38
Industry-strain-A,Manure,22,B22,119.2674699,0.892473118,0.586981132,0.32487,0.446212121,0.378814815,0.518072289,93,48,45
Industry-strain-A,Manure,23,B23,141.3407895,0.817204301,0.612792453,0.293216,0.4673,0.379304348,0.5,93,47,47
Industry-strain-A,Manure,24,B24,141.1754098,0.655913978,0.568025157,0.319396,0.514192308,0.363529412,0.409836066,93,38,55
